cluster_number,inertia
1,8662.689608504848
2,5845.264088017025
3,4890.714353327485
4,4263.25343785994
5,3787.75886347964
6,3394.2287796614946
7,3140.636614480455
8,2953.8540335873554
9,2806.0479993595195
10,2653.0835423328117
11,2591.6011940777516
12,2411.4917334117963
13,2384.3426903299273
14,2306.5775045719975
15,2211.4878716845246
16,2130.9290727031967
17,2076.192621805747
18,2010.3587784584831
19,1963.295930674544
20,1910.9308621962766
21,1862.2731531322966
22,1793.6280394172636
23,1762.8555784586952
24,1722.3667092817284
25,1726.1877600769317
26,1639.3776367647065
27,1602.8266042790892
28,1566.9120819583559
29,1531.8483953174605
30,1501.4734103112744
31,1471.3588468150856
32,1419.9071891307763
33,1412.9949569317616
34,1406.7383717547063
35,1359.1548340624358
36,1347.0824630650661
37,1271.9443040211804
38,1282.7919795685052
39,1238.5300316295375
